Dolný Tisovník,962 75,13
Dolný Turček,038 48,71
Dolný Vadičov,023 45,29
Dolný Vinodol,951 06,40
Doma,900 44,57
Domadice,935 87,30
Domaníky,962 65,28
Domaniža,018 16,48
Domaňovce,053 02,31
Domaša,935 61,30
Donovaly,976 39,2
Dora,985 41,33
Dovalovo,033 01,32
Drábsko,976 53,10
Drahňov,076 74,37
Drahošanka,022 01,12
Drahovce,922 41,45
Dravce,053 14,31
Dražice,980 23,53
Dražkovce,038 02,35
Dražovce,949 01,40
Drážovce,962 68,28
Driečna,090 23,64
Drienčany,980 23,53
Drienica,083 01,56
Drienov,082 04,49
Drienovec,044 01,27
Drienovo,962 51,28
Drienovská Nová Ves,082 01,49
Drietoma,913 03,69
Drňa,980 03,53
Drnava,049 42,54
Drnava,991 02,73
Družstevná pri Hornáde,044 31,27
Drženice,935 03,30
Držkovce,982 62,52
Ďubákovo,985 07,46
Dubie,024 01,29
Dubie,086 45,4
Dubinné,086 12,4
Dubková,020 55,51
Dubnica,972 01,50
Dubnica nad Váhom,018 41,20
Dubnička,957 03,1
Dubník,082 07,49
Dubník,941 35,42
Dubno,980 35,53
Dubodiel,913 23,69
Dubová,090 11,65
Dubová,900 90,44
Dubová,976 97,10
Dubovany,922 08,45
Dubovce,908 62,59
Dubové,038 23,71
Dubové,962 61,76
Dubovec,980 41,53
Dubovica,082 71,56
Dúbrava,032 12,32
Dúbrava,053 05,31
Dúbrava,067 73,60
Dúbrava,082 06,49
Dúbrava,913 33,69
Dúbrava,991 02,73
Dúbravica,976 33,2
Dúbravka,072 15,37
Dúbravy,962 12,13
Ducové,922 21,45
Dudince,962 71,28
Duchenec,962 52,28
Dukovce,086 44,65
Dulice,038 11,35
Dulov,018 52,20
Duľov,029 63,39
Ďulov Dvor,945 01,22
Dulova Ves,082 52,49
Dulovce,946 56,22
Dulovo,980 21,53
Dunajov,023 02,12
Dunajská Lužná,900 42,57
Dunajská Streda,929 01,15
Dunajský Klátov,930 21,15
Duplín,091 01,64
Ďurčiná,015 01,79
Ďurďoš,094 31,74
Ďurďošík,044 45,27
Ďurďové,018 22,48
Ďurkov,044 19,27
Ďurková,065 41,63
Ďurkovce,991 27,73
Dúžava,979 01,53
Dvor Mikuláš,941 35,42
Dvorany nad Nitrou,956 11,67
Dvorec,038 45,71
Dvorec,956 55,1
Dvorianky,076 62,68
Dvorníky,044 02,27
Dvorníky,920 56,18
Dvorníky,962 68,28
Dvorníky - Včeláre,044 02,27
Dvorníky nad Nitricou,972 22,50
Dvory nad Žitavou,941 31,42
Dyčka,952 01,40
Egreš,075 01,68
Eliášovce,930 38,15
Etreho Kračany,930 03,15
Fačkov,013 15,79
Fajtov,976 52,10
Falkušovce,072 05,37
Fančová,972 46,50
Farná,935 66,30
Fejséš,077 01,68
Fekišovce,072 33,61
Fiačice,032 14,32
Figa,982 51,53
Fijaš,087 01,65
Fiľakovo,986 01,33
Fiľakovské Kľačany,986 01,33
Fiľakovské Kováče,986 01,33
Filice,058 01,47
Filier,982 66,52
Filipovo,976 64,10
Fintice,082 16,49
Flajšová,029 57,39
